date,red_fighter,blue_fighter,total_minutes,red_kd,red_sig_str_landed,red_sig_str_attempted,red_td_landed,red_td_attempted,red_sub_att,red_ctrl_seconds,blue_kd,blue_sig_str_landed,blue_sig_str_attempted,blue_td_landed,blue_td_attempted,blue_sub_att,blue_ctrl_seconds
2026-05-09,Khamzat Chimaev,Sean Strickland,25.0,0.0,98.0,240.0,9.0,13.0,0.0,436.0,0.0,123.0,312.0,0.0,1.0,0.0,181.0
2026-05-09,Joshua Van,Tatsuro Taira,21.533,2.0,131.0,209.0,1.0,2.0,2.0,81.0,0.0,55.0,151.0,8.0,21.0,0.0,638.0
2026-05-09,Alexander Volkov,Waldo Cortes Acosta,15.0,0.0,88.0,143.0,0.0,1.0,0.0,3.0,0.0,54.0,130.0,0.0,1.0,0.0,1.0
2026-05-09,Sean Brady,Joaquin Buckley,15.0,0.0,77.0,180.0,4.0,10.0,0.0,729.0,0.0,5.0,31.0,0.0,0.0,0.0,0.0
2026-05-09,King Green,Jeremy Stephens,4.333,0.0,57.0,87.0,1.0,1.0,1.0,94.0,0.0,5.0,13.0,0.0,0.0,1.0,7.0
2026-05-09,Ateba Gautier,Ozzy Diaz,6.167,1.0,23.0,82.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,3.0,0.0,63.0
2026-05-09,Joel Alvarez,Yaroslav Amosov,6.217,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,16.0,28.0,6.0,11.0,1.0,232.0
2026-05-09,Grant Dawson,Mateusz Rebecki,14.7,0.0,35.0,94.0,1.0,3.0,4.0,428.0,1.0,33.0,64.0,1.0,5.0,0.0,142.0
2026-05-09,Jim Miller,Jared Gordon,3.483,0.0,9.0,17.0,0.0,0.0,1.0,0.0,0.0,7.0,16.0,2.0,2.0,0.0,44.0
2026-05-09,Roman Kopylov,Marco Tulio,15.0,3.0,61.0,124.0,1.0,1.0,0.0,154.0,0.0,62.0,160.0,0.0,0.0,0.0,0.0
2026-05-09,Pat Sabatini,William Gomis,15.0,0.0,25.0,70.0,3.0,20.0,0.0,672.0,0.0,23.0,64.0,0.0,0.0,0.0,0.0
2026-05-09,Baisangur Susurkaev,Djorden Santos,14.2,0.0,107.0,213.0,1.0,5.0,1.0,136.0,0.0,78.0,211.0,0.0,1.0,0.0,21.0
2026-05-09,Clayton Carpenter,Jose Ochoa,15.0,0.0,68.0,153.0,1.0,7.0,0.0,67.0,1.0,153.0,269.0,0.0,2.0,0.0,69.0
2026-05-02,Jack Della Maddalena,Carlos Prates,13.283,0.0,41.0,76.0,2.0,5.0,0.0,73.0,3.0,104.0,193.0,0.0,0.0,0.0,42.0
2026-05-02,Beneil Dariush,Quillan Salkilld,3.483,0.0,3.0,9.0,2.0,5.0,0.0,152.0,1.0,12.0,19.0,0.0,2.0,0.0,20.0
2026-05-02,Tim Elliott,Steve Erceg,15.0,0.0,90.0,261.0,2.0,11.0,0.0,34.0,0.0,136.0,254.0,1.0,3.0,0.0,29.0
2026-05-02,Marwan Rahiki,Ollie Schmid,2.783,1.0,22.0,40.0,0.0,0.0,0.0,4.0,0.0,9.0,30.0,0.0,0.0,0.0,0.0
2026-05-02,Shamil Gaziev,Brando Pericic,8.733,0.0,41.0,100.0,1.0,2.0,0.0,216.0,1.0,89.0,163.0,0.0,0.0,0.0,0.0
2026-05-02,Tai Tuivasa,Louie Sutherland,15.0,0.0,13.0,22.0,0.0,0.0,0.0,42.0,0.0,21.0,25.0,5.0,11.0,0.0,705.0
2026-05-02,Cam Rowston,Robert Bryczek,15.0,0.0,79.0,150.0,3.0,7.0,0.0,610.0,0.0,17.0,37.0,0.0,0.0,1.0,5.0
2026-05-02,Junior Tafa,Kevin Christian,2.7,0.0,21.0,31.0,0.0,0.0,0.0,9.0,0.0,13.0,21.0,0.0,2.0,0.0,0.0
2026-05-02,Jacob Malkoun,Gerald Meerschaert,15.0,0.0,36.0,82.0,3.0,3.0,0.0,137.0,0.0,32.0,76.0,0.0,3.0,3.0,263.0
2026-05-02,Colby Thicknesse,Vince Morales,15.0,0.0,46.0,117.0,0.0,6.0,4.0,181.0,0.0,48.0,121.0,2.0,2.0,0.0,214.0
2026-05-02,Ben Johnston,Wes Schultz,11.833,0.0,12.0,16.0,2.0,2.0,0.0,556.0,1.0,12.0,17.0,0.0,3.0,5.0,97.0
2026-05-02,Jonathan Micallef,Themba Gorimbo,15.0,0.0,55.0,112.0,1.0,4.0,0.0,206.0,0.0,39.0,90.0,2.0,5.0,0.0,325.0
2026-05-02,Dom Mar Fan,Kody Steele,3.933,0.0,1.0,2.0,0.0,0.0,0.0,28.0,0.0,1.0,1.0,1.0,1.0,1.0,104.0
2026-04-25,Aljamain Sterling,Youssef Zalal,25.0,0.0,46.0,89.0,6.0,11.0,1.0,829.0,0.0,35.0,65.0,0.0,0.0,1.0,239.0
2026-04-25,Norma Dumont,Joselyne Edwards,15.0,0.0,51.0,100.0,0.0,1.0,0.0,129.0,0.0,70.0,152.0,0.0,3.0,0.0,141.0
2026-04-25,Rafa Garcia,Alexander Hernandez,15.0,0.0,59.0,169.0,4.0,7.0,0.0,110.0,0.0,50.0,145.0,0.0,1.0,0.0,0.0
2026-04-25,Davey Grant,Adrian Luna Martinetti,15.0,0.0,162.0,307.0,0.0,1.0,0.0,2.0,0.0,99.0,196.0,1.0,5.0,0.0,43.0
2026-04-25,Montel Jackson,Raoni Barcelos,15.0,1.0,35.0,66.0,0.0,0.0,0.0,23.0,0.0,21.0,38.0,6.0,18.0,2.0,465.0
2026-04-25,Marcus Buchecha,Ryan Spann,7.167,0.0,8.0,13.0,1.0,7.0,1.0,69.0,1.0,15.0,27.0,0.0,0.0,0.0,176.0
2026-04-25,Rodolfo Vieira,Eric McConico,15.0,1.0,40.0,70.0,4.0,15.0,1.0,384.0,0.0,54.0,102.0,2.0,2.0,0.0,51.0
2026-04-25,Jackson McVey,Sedriques Dumas,2.233,1.0,21.0,29.0,0.0,0.0,1.0,123.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0
2026-04-25,Mayra Bueno Silva,Michelle Montague,15.0,0.0,26.0,45.0,0.0,0.0,1.0,99.0,0.0,42.0,83.0,2.0,6.0,0.0,614.0
2026-04-25,Jafel Filho,Cody Durden,15.0,0.0,23.0,63.0,2.0,3.0,0.0,188.0,0.0,34.0,72.0,5.0,5.0,1.0,314.0
2026-04-25,Francis Marshall,Lucas Brennan,15.0,0.0,33.0,69.0,2.0,3.0,0.0,396.0,0.0,9.0,36.0,0.0,6.0,1.0,47.0
2026-04-25,Max Griffin,Victor Valenzuela,15.0,0.0,40.0,89.0,4.0,9.0,0.0,63.0,0.0,53.0,117.0,1.0,2.0,0.0,36.0
2026-04-25,Talita Alencar,Julia Polastri,15.0,0.0,60.0,195.0,3.0,5.0,0.0,147.0,0.0,78.0,111.0,0.0,0.0,0.0,4.0
2026-04-18,Gilbert Burns,Mike Malott,12.133,0.0,40.0,92.0,0.0,7.0,0.0,1.0,2.0,56.0,121.0,0.0,0.0,0.0,14.0
2026-04-18,Kyler Phillips,Charles Jourdain,15.0,0.0,36.0,77.0,7.0,13.0,0.0,433.0,0.0,58.0,104.0,1.0,4.0,0.0,21.0
2026-04-18,Mandel Nallo,Jai Herbert,2.083,1.0,16.0,31.0,0.0,0.0,0.0,10.0,2.0,19.0,28.0,0.0,0.0,0.0,27.0
2026-04-18,Jasmine Jasudavicius,Karine Silva,15.0,0.0,18.0,76.0,3.0,5.0,0.0,489.0,0.0,15.0,43.0,0.0,0.0,2.0,0.0
2026-04-18,Thiago Moises,Gauge Young,15.0,0.0,45.0,101.0,2.0,15.0,0.0,153.0,1.0,122.0,226.0,0.0,0.0,0.0,67.0
