fight_id,date,event,fighter_a,fighter_b,winner,fighter_a_won,weight_class,method,round,fighter_a_pre_elo,fighter_b_pre_elo,elo_diff,fighter_a_expected_win_prob,fighter_b_expected_win_prob,fighter_a_age,fighter_b_age,age_diff,fighter_a_height,fighter_b_height,height_diff,fighter_a_reach,fighter_b_reach,reach_diff,fighter_a_prior_fights,fighter_b_prior_fights,prior_fights_diff,fighter_a_prior_wins,fighter_b_prior_wins,prior_wins_diff,fighter_a_prior_losses,fighter_b_prior_losses,prior_losses_diff,fighter_a_prior_win_pct,fighter_b_prior_win_pct,prior_win_pct_diff,fighter_a_wins_last_3,fighter_b_wins_last_3,wins_last_3_diff,fighter_a_win_pct_last_3,fighter_b_win_pct_last_3,win_pct_last_3_diff,fighter_a_wins_last_5,fighter_b_wins_last_5,wins_last_5_diff,fighter_a_win_pct_last_5,fighter_b_win_pct_last_5,win_pct_last_5_diff,fighter_a_days_since_last_fight,fighter_b_days_since_last_fight,days_since_last_fight_diff
8533,1994-03-11,UFC 2: No Way Out,Royce Gracie,Patrick Smith,Royce Gracie,1,,KO/TKO,1,1500.0,1500.0,0.0,0.5,0.5,27.24,30.54,-3.3000000000000007,185.4,188.0,-2.5999999999999943,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,
8534,1994-03-11,UFC 2: No Way Out,Royce Gracie,Remco Pardoel,Royce Gracie,1,Open Weight,Submission,1,1516.0,1500.0,16.0,0.5230095872975623,0.4769904127024377,27.24,,,185.4,190.5,-5.099999999999994,,,,1,0,1,1,0,1,0,0,0,1.0,,,1,0,1,1.0,,,1,0,1,1.0,,,0.0,,
8535,1994-03-11,UFC 2: No Way Out,Patrick Smith,Johnny Rhodes,Patrick Smith,1,Open Weight,Submission,1,1484.0,1500.0,-16.0,0.4769904127024377,0.5230095872975623,30.54,,,188.0,182.9,5.099999999999994,,,,1,0,1,0,0,0,1,0,1,0.0,,,0,0,0,0.0,,,0,0,0,0.0,,,0.0,,
8536,1994-03-11,UFC 2: No Way Out,Royce Gracie,Jason DeLucia,Royce Gracie,1,Open Weight,Submission,1,1531.263693206478,1500.0,31.26369320647791,0.544871027446134,0.455128972553866,27.24,24.63,2.6099999999999994,185.4,180.3,5.099999999999994,,,,2,0,2,2,0,2,0,0,0,1.0,,,2,0,2,1.0,,,2,0,2,1.0,,,0.0,,
8537,1994-03-11,UFC 2: No Way Out,Remco Pardoel,Orlando Wiet,Remco Pardoel,1,Open Weight,KO/TKO,1,1484.736306793522,1500.0,-15.26369320647791,0.4780479008586052,0.5219520991413948,,,,190.5,177.8,12.699999999999989,,,,1,0,1,0,0,0,1,0,1,0.0,,,0,0,0,0.0,,,0,0,0,0.0,,,0.0,,
8538,1994-03-11,UFC 2: No Way Out,Johnny Rhodes,Fred Ettish,Johnny Rhodes,1,Open Weight,Submission,1,1483.263693206478,1500.0,-16.73630679352209,0.4759331307924145,0.5240668692075855,,,,182.9,182.9,0.0,,,,1,0,1,0,0,0,1,0,1,0.0,,,0,0,0,0.0,,,0,0,0,0.0,,,0.0,,
8539,1994-03-11,UFC 2: No Way Out,Patrick Smith,Scott Morris,Patrick Smith,1,Open Weight,KO/TKO,1,1500.736306793522,1500.0,0.7363067935220897,0.5010596290677872,0.4989403709322128,30.54,,,188.0,177.8,10.199999999999989,,,,2,0,2,1,0,1,1,0,1,0.5,,,1,0,1,0.5,,,1,0,1,0.5,,,0.0,,
8540,1994-03-11,UFC 2: No Way Out,Royce Gracie,Minoki Ichihara,Royce Gracie,1,Open Weight,Submission,1,1545.8278203282016,1500.0,45.8278203282016,0.5655716940264897,0.43442830597351034,27.24,,,185.4,170.2,15.200000000000017,,,,3,0,3,3,0,3,0,0,0,1.0,,,3,0,3,1.0,,,3,0,3,1.0,,,0.0,,
8541,1994-03-11,UFC 2: No Way Out,Jason DeLucia,Scott Baker,Jason DeLucia,1,Open Weight,Submission,1,1485.4358728782763,1500.0,-14.564127121723686,0.47905280425730384,0.5209471957426961,24.63,,,180.3,182.9,-2.5999999999999943,,,,1,0,1,0,0,0,1,0,1,0.0,,,0,0,0,0.0,,,0,0,0,0.0,,,0.0,,
8542,1994-03-11,UFC 2: No Way Out,Remco Pardoel,Alberta Cerra Leon,Remco Pardoel,1,Open Weight,Submission,1,1501.4387739660467,1500.0,1.4387739660467105,0.5020705503431234,0.4979294496568766,,,,190.5,172.7,17.80000000000001,,,,2,0,2,1,0,1,1,0,1,0.5,,,1,0,1,0.5,,,1,0,1,0.5,,,0.0,,
8543,1994-03-11,UFC 2: No Way Out,Orlando Wiet,Robert Lucarelli,Orlando Wiet,1,Open Weight,KO/TKO,1,1483.2975328274754,1500.0,-16.70246717252462,0.4759817173204222,0.5240182826795778,,,,177.8,188.0,-10.199999999999989,,,,1,0,1,0,0,0,1,0,1,0.0,,,0,0,0,0.0,,,0,0,0,0.0,,,0.0,,
8544,1994-03-11,UFC 2: No Way Out,Frank Hamaker,Thaddeus Luster,Frank Hamaker,1,Open Weight,Submission,1,1500.0,1500.0,0.0,0.5,0.5,,,,,190.5,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,
8545,1994-03-11,UFC 2: No Way Out,Johnny Rhodes,David Levicki,Johnny Rhodes,1,Open Weight,KO/TKO,1,1500.0338330211207,1500.0,0.033833021120699414,0.5000486896311482,0.49995131036885176,,,,182.9,195.6,-12.699999999999989,,,,2,0,2,1,0,1,1,0,1,0.5,,,1,0,1,0.5,,,1,0,1,0.5,,,0.0,,
8546,1994-03-11,UFC 2: No Way Out,Patrick Smith,Ray Wizard,Patrick Smith,1,Open Weight,Submission,1,1516.7023986633528,1500.0,16.702398663352824,0.5240181843144569,0.4759818156855431,30.54,,,188.0,,,,,,3,0,3,2,0,2,1,0,1,0.6666666666666666,,,2,0,2,0.6666666666666666,,,2,0,2,0.6666666666666666,,,0.0,,
8547,1994-03-11,UFC 2: No Way Out,Scott Morris,Sean Daugherty,Scott Morris,1,Open Weight,Submission,1,1484.0339081301693,1500.0,-15.966091869830734,0.4770391073008154,0.5229608926991847,,18.27,,177.8,182.9,-5.099999999999994,,,,1,0,1,0,0,0,1,0,1,0.0,,,0,0,0,0.0,,,0,0,0,0.0,,,0.0,,
8527,1994-09-09,UFC 3: The American Dream,Steve Jennum,Harold Howard,Steve Jennum,1,,KO/TKO,1,1500.0,1500.0,0.0,0.5,0.5,,,,177.8,188.0,-10.199999999999989,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,
8528,1994-09-09,UFC 3: The American Dream,Ken Shamrock,Felix Lee Mitchell,Ken Shamrock,1,Open Weight,Submission,1,1500.0,1500.0,0.0,0.5,0.5,30.58,,,185.4,,,182.9,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,
