date,event,red_fighter,blue_fighter,winner,weight_class,method,round
2026-05-16,UFC Fight Night: Allen vs. Costa,Arnold Allen,Melquizael Costa,Arnold Allen,Featherweight,Decision - Unanimous,5
2026-05-16,UFC Fight Night: Allen vs. Costa,Dooho Choi,Daniel Santos,Dooho Choi,Featherweight,KO/TKO,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Malcolm Wellmaker,Juan Diaz,Juan Diaz,Bantamweight,Submission,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Modestas Bukauskas,Christian Edwards,Modestas Bukauskas,Catch Weight,Decision - Split,3
2026-05-16,UFC Fight Night: Allen vs. Costa,Timmy Cuamba,Benardo Sopaj,Benardo Sopaj,Bantamweight,Submission,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Nikolay Veretennikov,Khaos Williams,Khaos Williams,Welterweight,KO/TKO,1
2026-05-16,UFC Fight Night: Allen vs. Costa,Tuco Tokkos,Ivan Erslan,Ivan Erslan,Light Heavyweight,Decision - Unanimous,3
2026-05-16,UFC Fight Night: Allen vs. Costa,Tommy Gantt,Artur Minev,Tommy Gantt,Lightweight,KO/TKO,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Ketlen Vieira,Jacqueline Cavalcanti,Ketlen Vieira,Women's Bantamweight,Decision - Unanimous,3
2026-05-16,UFC Fight Night: Allen vs. Costa,Cody Brundage,Andre Petroski,Cody Brundage,Middleweight,KO/TKO,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Alice Ardelean,Polyana Viana,Alice Ardelean,Women's Strawweight,Submission,2
2026-05-16,UFC Fight Night: Allen vs. Costa,Daniel Barez,Luis Gurule,Luis Gurule,Flyweight,Decision - Unanimous,3
2026-05-16,UFC Fight Night: Allen vs. Costa,Shauna Bannon,Nicolle Caliari,Nicolle Caliari,Women's Strawweight,Submission,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Khamzat Chimaev,Sean Strickland,Sean Strickland,Middleweight,Decision - Split,5
2026-05-09,UFC 328: Chimaev vs. Strickland,Joshua Van,Tatsuro Taira,Joshua Van,Flyweight,KO/TKO,5
2026-05-09,UFC 328: Chimaev vs. Strickland,Alexander Volkov,Waldo Cortes Acosta,Alexander Volkov,Heavyweight,Decision - Unanimous,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Sean Brady,Joaquin Buckley,Sean Brady,Welterweight,Decision - Unanimous,3
2026-05-09,UFC 328: Chimaev vs. Strickland,King Green,Jeremy Stephens,King Green,Lightweight,Submission,1
2026-05-09,UFC 328: Chimaev vs. Strickland,Ateba Gautier,Ozzy Diaz,Ateba Gautier,Middleweight,KO/TKO,2
2026-05-09,UFC 328: Chimaev vs. Strickland,Joel Alvarez,Yaroslav Amosov,Yaroslav Amosov,Welterweight,Submission,2
2026-05-09,UFC 328: Chimaev vs. Strickland,Grant Dawson,Mateusz Rebecki,Grant Dawson,Lightweight,Submission,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Jim Miller,Jared Gordon,Jim Miller,Lightweight,Submission,1
2026-05-09,UFC 328: Chimaev vs. Strickland,Roman Kopylov,Marco Tulio,Roman Kopylov,Middleweight,Decision - Unanimous,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Pat Sabatini,William Gomis,Pat Sabatini,Featherweight,Decision - Unanimous,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Baisangur Susurkaev,Djorden Santos,Baisangur Susurkaev,Middleweight,Submission,3
2026-05-09,UFC 328: Chimaev vs. Strickland,Clayton Carpenter,Jose Ochoa,Jose Ochoa,Flyweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Jack Della Maddalena,Carlos Prates,Carlos Prates,Welterweight,KO/TKO,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Beneil Dariush,Quillan Salkilld,Quillan Salkilld,Lightweight,KO/TKO,1
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Tim Elliott,Steve Erceg,Steve Erceg,Flyweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Marwan Rahiki,Ollie Schmid,Marwan Rahiki,Featherweight,KO/TKO,1
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Shamil Gaziev,Brando Pericic,Brando Pericic,Heavyweight,KO/TKO,2
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Tai Tuivasa,Louie Sutherland,Louie Sutherland,Heavyweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Cam Rowston,Robert Bryczek,Cam Rowston,Middleweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Junior Tafa,Kevin Christian,Junior Tafa,Light Heavyweight,KO/TKO,1
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Jacob Malkoun,Gerald Meerschaert,Jacob Malkoun,Middleweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Colby Thicknesse,Vince Morales,Colby Thicknesse,Bantamweight,Decision - Unanimous,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Ben Johnston,Wes Schultz,Wes Schultz,Middleweight,Submission,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Jonathan Micallef,Themba Gorimbo,Jonathan Micallef,Welterweight,Decision - Split,3
2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,Dom Mar Fan,Kody Steele,Kody Steele,Lightweight,Submission,1
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Aljamain Sterling,Youssef Zalal,Aljamain Sterling,Featherweight,Decision - Unanimous,5
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Norma Dumont,Joselyne Edwards,Joselyne Edwards,Women's Bantamweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Rafa Garcia,Alexander Hernandez,Rafa Garcia,Lightweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Davey Grant,Adrian Luna Martinetti,Davey Grant,Bantamweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Montel Jackson,Raoni Barcelos,Raoni Barcelos,Bantamweight,Decision - Split,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Marcus Buchecha,Ryan Spann,Ryan Spann,Heavyweight,KO/TKO,2
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Rodolfo Vieira,Eric McConico,Eric McConico,Middleweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Jackson McVey,Sedriques Dumas,Jackson McVey,Middleweight,Submission,1
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Mayra Bueno Silva,Michelle Montague,Michelle Montague,Women's Bantamweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Jafel Filho,Cody Durden,Cody Durden,Bantamweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Francis Marshall,Lucas Brennan,Francis Marshall,Lightweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Max Griffin,Victor Valenzuela,Victor Valenzuela,Welterweight,Decision - Unanimous,3
2026-04-25,UFC Fight Night: Sterling vs. Zalal,Talita Alencar,Julia Polastri,Talita Alencar,Women's Strawweight,Decision - Unanimous,3
2026-04-18,UFC Fight Night: Burns vs. Malott,Gilbert Burns,Mike Malott,Mike Malott,Welterweight,KO/TKO,3
2026-04-18,UFC Fight Night: Burns vs. Malott,Kyler Phillips,Charles Jourdain,Charles Jourdain,Bantamweight,Decision - Unanimous,3
2026-04-18,UFC Fight Night: Burns vs. Malott,Mandel Nallo,Jai Herbert,Jai Herbert,Lightweight,KO/TKO,1
2026-04-18,UFC Fight Night: Burns vs. Malott,Jasmine Jasudavicius,Karine Silva,Jasmine Jasudavicius,Women's Flyweight,Decision - Unanimous,3
2026-04-18,UFC Fight Night: Burns vs. Malott,Thiago Moises,Gauge Young,Gauge Young,Lightweight,Decision - Split,3
2026-04-18,UFC Fight Night: Burns vs. Malott,Dennis Buzukja,Marcio Barbosa,Marcio Barbosa,Featherweight,KO/TKO,1
2026-04-18,UFC Fight Night: Burns vs. Malott,Julien Leblanc,Robert Valentin,Robert Valentin,Middleweight,Submission,1
2026-04-18,UFC Fight Night: Burns vs. Malott,Tanner Boser,Gokhan Saricam,Gokhan Saricam,Heavyweight,KO/TKO,2
2026-04-18,UFC Fight Night: Burns vs. Malott,Melissa Croden,Daria Zhelezniakova,Melissa Croden,Women's Bantamweight,Decision - Unanimous,3
2026-04-18,UFC Fight Night: Burns vs. Malott,JJ Aldrich,Jamey-Lyn Horth,JJ Aldrich,Women's Flyweight,Decision - Unanimous,3
2026-04-18,UFC Fight Night: Burns vs. Malott,John Castaneda,Mark Vologdin,,Catch Weight,Decision - Majority,3
2026-04-18,UFC Fight Night: Burns vs. Malott,Jamie Siraj,John Yannis,John Yannis,Bantamweight,KO/TKO,1
2026-04-11,UFC 327: Prochazka vs. Ulberg,Jiri Prochazka,Carlos Ulberg,Carlos Ulberg,Light Heavyweight,KO/TKO,1
2026-04-11,UFC 327: Prochazka vs. Ulberg,Azamat Murzakanov,Paulo Costa,Paulo Costa,Light Heavyweight,KO/TKO,3
2026-04-11,UFC 327: Prochazka vs. Ulberg,Curtis Blaydes,Josh Hokit,Josh Hokit,Heavyweight,Decision - Unanimous,3
2026-04-11,UFC 327: Prochazka vs. Ulberg,Dominick Reyes,Johnny Walker,Dominick Reyes,Light Heavyweight,Decision - Split,3
2026-04-11,UFC 327: Prochazka vs. Ulberg,Cub Swanson,Nate Landwehr,Cub Swanson,Featherweight,KO/TKO,1
2026-04-11,UFC 327: Prochazka vs. Ulberg,Patricio Pitbull,Aaron Pico,Aaron Pico,Featherweight,Decision - Unanimous,3
2026-04-11,UFC 327: Prochazka vs. Ulberg,Kevin Holland,Randy Brown,Kevin Holland,Welterweight,Decision - Unanimous,3
2026-04-11,UFC 327: Prochazka vs. Ulberg,Mateusz Gamrot,Esteban Ribovics,Mateusz Gamrot,Lightweight,Submission,2
2026-04-11,UFC 327: Prochazka vs. Ulberg,Tatiana Suarez,Loopy Godinez,Tatiana Suarez,Women's Strawweight,Submission,2
2026-04-11,UFC 327: Prochazka vs. Ulberg,Chris Padilla,MarQuel Mederos,,Lightweight,Decision - Majority,3
2026-04-11,UFC 327: Prochazka vs. Ulberg,Kelvin Gastelum,Vicente Luque,Vicente Luque,Middleweight,Submission,1
2026-04-11,UFC 327: Prochazka vs. Ulberg,Charles Radtke,Francisco Prado,Charles Radtke,Welterweight,Decision - Unanimous,3
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Renato Moicano,Chris Duncan,Renato Moicano,Lightweight,Submission,2
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Virna Jandiroba,Tabatha Ricci,Virna Jandiroba,Women's Strawweight,Decision - Unanimous,3
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Abdul Rakhman Yakhyaev,Brendson Ribeiro,Abdul Rakhman Yakhyaev,Light Heavyweight,Submission,1
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Ethyn Ewing,Rafael Estevam,Ethyn Ewing,Bantamweight,KO/TKO,3
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Tommy McMillen,Manolo Zecchini,Tommy McMillen,Featherweight,KO/TKO,1
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Jose Delano,Robert Ruchala,Jose Delano,Featherweight,Decision - Unanimous,3
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Guilherme Pat,Thomas Petersen,Thomas Petersen,Heavyweight,Decision - Majority,3
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Alessandro Costa,Stewart Nicoll,Alessandro Costa,Flyweight,KO/TKO,2
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Lando Vannata,Darrius Flowers,Darrius Flowers,Lightweight,KO/TKO,2
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Alice Pereira,Hailey Cowan,Alice Pereira,Women's Bantamweight,KO/TKO,2
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Azamat Bekoev,Tresean Gore,Tresean Gore,Middleweight,Submission,3
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Dione Barbosa,Melissa Gatto,Dione Barbosa,Women's Flyweight,Decision - Majority,3
2026-04-04,UFC Fight Night: Moicano vs. Duncan,Kai Kamaka III,Dakota Hope,Kai Kamaka III,Lightweight,Decision - Split,3
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Israel Adesanya,Joe Pyfer,Joe Pyfer,Middleweight,KO/TKO,2
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Alexa Grasso,Maycee Barber,Alexa Grasso,Women's Flyweight,KO/TKO,1
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Michael Chiesa,Niko Price,Michael Chiesa,Welterweight,Submission,1
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Julian Erosa,Lerryan Douglas,Lerryan Douglas,Featherweight,KO/TKO,1
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Mansur Abdul-Malik,Yousri Belgaroui,Yousri Belgaroui,Middleweight,KO/TKO,3
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Terrance McKinney,Kyle Nelson,Terrance McKinney,Lightweight,KO/TKO,1
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Ignacio Bahamondes,Tofiq Musayev,Tofiq Musayev,Lightweight,Decision - Unanimous,3
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Chase Hooper,Lance Gibson Jr.,Lance Gibson Jr.,Lightweight,KO/TKO,1
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Marcin Tybura,Tyrell Fortune,Tyrell Fortune,Heavyweight,Decision - Unanimous,3
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Casey O'Neill,Gabriella Fernandes,Casey O'Neill,Women's Flyweight,KO/TKO,1
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Navajo Stirling,Bruno Lopes,Navajo Stirling,Light Heavyweight,KO/TKO,2
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Ricky Simon,Adrian Yanez,,Bantamweight,Decision - Majority,3
2026-03-28,UFC Fight Night: Adesanya vs. Pyfer,Alexia Thainara,Bruna Brasil,Alexia Thainara,Women's Strawweight,Decision - Unanimous,3
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Movsar Evloev,Lerone Murphy,Movsar Evloev,Featherweight,Decision - Majority,5
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Luke Riley,Michael Aswell Jr.,Luke Riley,Featherweight,Decision - Unanimous,3
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Michael Page,Sam Patterson,Michael Page,Welterweight,Decision - Unanimous,3
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Iwo Baraniewski,Austen Lane,Iwo Baraniewski,Light Heavyweight,KO/TKO,1
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Roman Dolidze,Christian Leroy Duncan,Christian Leroy Duncan,Middleweight,Decision - Unanimous,3
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Kurtis Campbell,Danny Silva,Danny Silva,Featherweight,KO/TKO,2
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Mason Jones,Axel Sola,Mason Jones,Lightweight,Decision - Unanimous,3
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Nathaniel Wood,Losene Keita,Nathaniel Wood,Featherweight,Decision - Split,3
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Mario Pinto,Felipe Franco,Mario Pinto,Heavyweight,Decision - Unanimous,3
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Mantas Kondratavicius,Antonio Trocoli,Mantas Kondratavicius,Middleweight,Decision - Unanimous,3
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Louie Sutherland,Brando Pericic,Brando Pericic,Heavyweight,KO/TKO,1
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Shem Rock,Abdul-Kareem Al-Selwady,Abdul-Kareem Al-Selwady,Lightweight,Decision - Unanimous,3
2026-03-21,UFC Fight Night: Evloev vs. Murphy,Shanelle Dyer,Ravena Oliveira,Shanelle Dyer,Women's Strawweight,KO/TKO,2
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Josh Emmett,Kevin Vallejos,Kevin Vallejos,Featherweight,KO/TKO,1
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Amanda Lemos,Gillian Robertson,Gillian Robertson,Women's Strawweight,Decision - Unanimous,3
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Andre Fili,Jose Delgado,Jose Delgado,Featherweight,Decision - Split,3
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Marwan Rahiki,Harry Hardwick,Marwan Rahiki,Featherweight,KO/TKO,2
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Ion Cutelaba,Oumar Sy,Ion Cutelaba,Light Heavyweight,Submission,1
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Charles Johnson,Bruno Silva,Charles Johnson,Flyweight,Decision - Split,3
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Chris Curtis,Myktybek Orolbai,Myktybek Orolbai,Welterweight,Decision - Unanimous,3
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Vitor Petrino,Steven Asplund,Vitor Petrino,Heavyweight,Decision - Unanimous,3
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Elijah Smith,SuYoung You,Elijah Smith,Bantamweight,Submission,2
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Bolaji Oki,Manoel Sousa,Manoel Sousa,Lightweight,KO/TKO,3
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Brad Tavares,Eryk Anders,Eryk Anders,Middleweight,Decision - Unanimous,3
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Bia Mesquita,Montse Rendon,Bia Mesquita,Women's Bantamweight,Submission,1
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Luan Lacerda,Hecher Sosa,Hecher Sosa,Bantamweight,Decision - Unanimous,3
2026-03-14,UFC Fight Night: Emmett vs. Vallejos,Piera Rodriguez,Sam Hughes,Piera Rodriguez,Women's Strawweight,Decision - Unanimous,3
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Max Holloway,Charles Oliveira,Charles Oliveira,Lightweight,Decision - Unanimous,5
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Caio Borralho,Reinier de Ridder,Caio Borralho,Middleweight,Decision - Unanimous,3
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Rob Font,Raul Rosas Jr.,Raul Rosas Jr.,Bantamweight,Decision - Unanimous,3
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Drew Dober,Michael Johnson,Drew Dober,Lightweight,KO/TKO,2
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Gregory Rodrigues,Brunno Ferreira,Gregory Rodrigues,Middleweight,KO/TKO,1
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Cody Garbrandt,Xiao Long,Cody Garbrandt,Bantamweight,Decision - Unanimous,3
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Donte Johnson,Cody Brundage,Donte Johnson,Middleweight,Decision - Split,3
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Ricky Turcios,Alberto Montes,Alberto Montes,Featherweight,Submission,2
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Cody Durden,Nyamjargal Tumendemberel,Nyamjargal Tumendemberel,Flyweight,Decision - Unanimous,3
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Sumudaerji,Jesus Aguilar,Sumudaerji,Flyweight,Decision - Unanimous,3
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Rafael Tobias,Diyar Nurgozhay,Diyar Nurgozhay,Light Heavyweight,Decision - Unanimous,3
2026-03-07,UFC 326: Holloway vs. Oliveira 2,Luke Fernandez,Rodolfo Bellato,Rodolfo Bellato,Light Heavyweight,KO/TKO,1
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Brandon Moreno,Lone'er Kavanagh,Lone'er Kavanagh,Flyweight,Decision - Unanimous,5
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Marlon Vera,David Martinez,David Martinez,Bantamweight,Decision - Unanimous,3
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Daniel Zellhuber,King Green,King Green,Lightweight,KO/TKO,2
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Edgar Chairez,Felipe Bunes,Edgar Chairez,Flyweight,Decision - Split,3
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Imanol Rodriguez,Kevin Borjas,Imanol Rodriguez,Flyweight,KO/TKO,2
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Santiago Luna,Angel Pacheco,Santiago Luna,Bantamweight,Decision - Unanimous,3
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Ryan Gandra,Jose Daniel Medina,Ryan Gandra,Middleweight,KO/TKO,1
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Ailin Perez,Macy Chiasson,Ailin Perez,Women's Bantamweight,Decision - Unanimous,3
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Cristian Quinonez,Kris Moutinho,Cristian Quinonez,Bantamweight,Decision - Unanimous,3
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Douglas Silva de Andrade,Javier Reyes,Javier Reyes,Featherweight,KO/TKO,1
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Regina Tarin,Ernesta Kareckaite,Regina Tarin,Catch Weight,Decision - Unanimous,3
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Erik Silva,Francis Marshall,Francis Marshall,Featherweight,Submission,1
2026-02-28,UFC Fight Night: Moreno vs. Kavanagh,Damian Pinas,Wes Schultz,Damian Pinas,Middleweight,KO/TKO,1
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Sean Strickland,Anthony Hernandez,Sean Strickland,Middleweight,KO/TKO,3
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Geoff Neal,Uros Medic,Uros Medic,Welterweight,KO/TKO,1
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Dan Ige,Melquizael Costa,Melquizael Costa,Featherweight,KO/TKO,1
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Serghei Spivac,Ante Delija,Serghei Spivac,Heavyweight,Decision - Unanimous,3
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Jacobe Smith,Josiah Harrell,Jacobe Smith,Welterweight,KO/TKO,1
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Zach Reese,Michel Pereira,Michel Pereira,Middleweight,Decision - Split,3
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Chidi Njokuani,Carlos Leal,Carlos Leal,Welterweight,Decision - Unanimous,3
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Ode Osbourne,Alibi Idiris,Alibi Idiris,Flyweight,Decision - Unanimous,3
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Alden Coria,Luis Gurule,Alden Coria,Flyweight,Decision - Unanimous,3
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Nora Cornolle,Joselyne Edwards,Joselyne Edwards,Women's Bantamweight,Submission,2
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Ramiz Brahimaj,Punahele Soriano,Punahele Soriano,Welterweight,Decision - Unanimous,3
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Phil Rowe,Jean-Paul Lebosnoyani,Jean-Paul Lebosnoyani,Welterweight,Decision - Split,3
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Jordan Leavitt,Yadier del Valle,Jordan Leavitt,Featherweight,Decision - Unanimous,3
2026-02-21,UFC Fight Night: Strickland vs. Hernandez,Juliana Miller,Carli Judice,Carli Judice,Women's Flyweight,Decision - Unanimous,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Mario Bautista,Vinicius Oliveira,Mario Bautista,Bantamweight,Submission,2
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Amir Albazi,Kyoji Horiguchi,Kyoji Horiguchi,Flyweight,Decision - Unanimous,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Jailton Almeida,Rizvan Kuniev,Rizvan Kuniev,Heavyweight,Decision - Unanimous,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Michal Oleksiejczuk,Marc-Andre Barriault,Michal Oleksiejczuk,Middleweight,Decision - Unanimous,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Jean Matsumoto,Farid Basharat,Farid Basharat,Bantamweight,Decision - Split,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Dustin Jacoby,Julius Walker,Dustin Jacoby,Light Heavyweight,KO/TKO,2
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Alex Morono,Daniil Donchenko,Daniil Donchenko,Welterweight,Decision - Unanimous,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Nikolay Veretennikov,Niko Price,Nikolay Veretennikov,Welterweight,KO/TKO,1
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Bruna Brasil,Ketlen Souza,Ketlen Souza,Women's Strawweight,Decision - Unanimous,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Javid Basharat,Gianni Vazquez,Javid Basharat,Bantamweight,Decision - Unanimous,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Wang Cong,Eduarda Moura,Wang Cong,Catch Weight,Decision - Unanimous,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Muin Gafurov,Jakub Wiklacz,Jakub Wiklacz,Bantamweight,Submission,3
2026-02-07,UFC Fight Night: Bautista vs. Oliveira,Klaudia Sygula,Priscila Cachoeira,Klaudia Sygula,Women's Bantamweight,Decision - Unanimous,3
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Alexander Volkanovski,Diego Lopes,Alexander Volkanovski,Featherweight,Decision - Unanimous,5
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Dan Hooker,Benoit Saint Denis,Benoit Saint Denis,Lightweight,KO/TKO,2
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Rafael Fiziev,Mauricio Ruffy,Mauricio Ruffy,Lightweight,KO/TKO,2
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Tai Tuivasa,Tallison Teixeira,Tallison Teixeira,Heavyweight,Decision - Unanimous,3
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Quillan Salkilld,Jamie Mullarkey,Quillan Salkilld,Lightweight,Submission,1
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Junior Tafa,Billy Elekana,Billy Elekana,Light Heavyweight,Submission,2
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Cam Rowston,Cody Brundage,Cam Rowston,Middleweight,KO/TKO,2
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Jacob Malkoun,Torrez Finney,Jacob Malkoun,Middleweight,Decision - Unanimous,3
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Jonathan Micallef,Oban Elliott,Jonathan Micallef,Welterweight,Submission,2
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Kaan Ofli,Yizha,Kaan Ofli,Featherweight,Decision - Majority,3
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Sangwook Kim,Dom Mar Fan,Dom Mar Fan,Lightweight,Decision - Unanimous,3
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Keiichiro Nakamura,Sebastian Szalay,Keiichiro Nakamura,Featherweight,KO/TKO,3
